CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV
SC,NO,0,0,0,0,0,1,1,0,0,0,0,0,0,1312.7,0.08,0,0,0,0,0,400
SC,N,0,0,0,0,0,0,1,0,0,1,0,2,1,744,0.335,0,0,0,0,0,400
SC,NE,0,2,0,0,0,0,4,2,0,2,0,8,0,4193.92,0.21,0,0,1,0,0,400
SC,OCC,0,1,1,0,1,2,2,3,0,2,17,22,1,5636,0.46,0,0,3,0,0,400
SC,C,0,0,0,0,0,0,0,6,0,0,1,5,0,3453,0.17,0,0,2,0,0,400
SC,OR,0,0,2,0,0,1,1,3,0,2,8,6,3,4944,0.26,0,0,2,0,0,400
SC,SE,0,0,0,0,0,7,1,4,0,0,0,3,1,2521.71,0.32,0,0,4,0,0,400
SC,PEN,0,0,0,0,0,1,0,0,0,0,0,4,0,822,0.35,0,0,0,0,0,400
SC,BC,0,0,0,0,0,0,2,0,0,1,0,7,0,1526.12,0.325,0,0,0,0,0,230
SC,NO,0,0,0,0,0,0,11,0,0,1,0,1,0,5500.82,0.12,0,0,1,0,0,230
SC,N,0,0,1,0,0,0,3,1,0,0,0,3,1,4941,0.09,0,0,0,0,0,230
SC,NE,0,0,0,1,1,1,6,4,0,0,0,0,0,1729.5,0.375,0,0,1,1,0,230
SC,OCC,0,0,2,0,0,2,5,0,0,0,0,5,2,4070.5,0.195,0,0,0,1,0,230
SC,C,0,0,0,0,0,1,0,3,0,0,1,4,0,3431,0.13,0,0,2,0,0,230
SC,OR,0,1,0,1,1,1,6,4,0,1,6,4,0,1592.76,0.785,0,0,2,0,0,230
SC,SE,1,0,0,0,0,5,1,7,0,1,0,3,0,1682.6,0.535,0,0,3,0,0,230
SC,PEN,0,3,1,0,0,2,0,0,0,1,1,12,1,2441,0.43,0,0,1,0,0,230
SC,BC,0,0,0,2,0,0,0,0,0,0,0,0,0,404,0.25,0,0,0,0,0,161
SC,OCC,0,0,0,0,0,0,0,3,0,0,0,0,0,145,1.035,0,0,0,0,0,161
SC,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,156.26,0,0,0,0,0,0,138
SC,BC,0,0,0,0,0,0,4,0,0,0,0,0,0,1502.65,0.13,0,0,0,0,0,115
SC,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,316.42,0,0,0,0,0,0,115
SC,N,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,115
SC,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,30.27,0,0,0,0,0,0,115
SC,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,1,0,0,115
SC,C,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,115
SC,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,115
SC,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,512.06,0,0,0,0,0,0,115
SC,PEN,0,2,0,0,0,1,7,4,0,0,1,1,2,2659,0.34,0,0,1,0,0,115
SC,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,69
